,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Alnus,Betulaceae_20,0.44535281,0.46389705,0.45302715,0.46489932,0.47202636,0.47317901,0.423193097,0.47413287,0.456708195,0.45902037,0.38421055,0.47133834,0.37771258,0.54628254,0.44501984,0.42269906,0.42391382,0.45227343,0.4460309,1,0.75441225,0.75993865,0.77624968,0.36812994,0.30524952,0.39336607,0.38066494,0,0,0,0,0.44602296,0.44862739,0.41258419,0.36156547,0.4780331,0.50366733,0.48187233,0.49051413,0.46805233,0.4658986,0.47543084,0.48433602,0.50014432,0.49878793,0.49931792,0.49575256,0.49567315,0.49250184,0.49175222,0.48183182,0.48738218,0.47325559,0.48638291,0.47283413,0.39383211,0.49785025,0.49481701,0.570663899,0.56667002,0.49352807,0.47560036
Quercus,Fagaceae_21,0.42282088,0.43950102,0.4297323,0.44040055,0.44679106,0.44782363,0.40279631,0.44867791,0.43304314,0.43512136,0.36732343,0.44617459,0.35643127,0.51507793,0.424089996,0.40377146,0.40487973,0.43067229,0.42500809,0.75441225,1,0.96969085,0.81927654,0.34788581,0.29119858,0.37033806,0.35905916,0,0,0,0,0.42342489,0.4257714,0.39317378,0.34657147,0.45216905,0.47503809,0.45560259,0.46332029,0.44322899,0.44129718,0.44984008,0.45780436,0.47190295,0.47069523,0.47116718,0.46799123,0.46792046,0.46509332,0.46442476,0.45556637,0.460524995,0.44634933,0.45800803,0.44597441,0.37501956,0.46816245,0.4654792,0.53714032,0.53360044,0.464338398,0.44843447
Chrysolepis,Fagaceae_22,0.4253853,0.44227243,0.43238151,0.44318334,0.44965547,0.45070133,0.40512292,0.45156664,0.43573344,0.43783763,0.3692573,0.44903107,0.35884035,0.51860775,0.426479995,0.40593735,0.40705756,0.43313727,0.42740848,0.75993865,0.96969085,1,0.82508558,0.35018039,0.29280456,0.37293948,0.36150401,0,0,0,0,0.42599667,0.42837185,0.39539024,0.348292497,0.45510306,0.47827744,0.45858146,0.46640129,0.44604776,0.44409135,0.45274384,0.460812196,0.47509955,0.47387543,0.47435377,0.47113487,0.47106315,0.46819802,0.46752051,0.45854478,0.4635688,0.44939369,0.46121408,0.44901364,0.37716631,0.47151276,0.46879108,0.54092667,0.53733688,0.46763401,0.45150745
Fagus,Fagaceae_23,0.43291684,0.45041954,0.44016509,0.45136436,0.45807945,0.45916491,0.41194829,0.46006306,0.44363928,0.4458207,0.37491922,0.45743146,0.3659349,0.52900666,0.43348749,0.41228101,0.41343655,0.4403671,0.43444677,0.77624968,0.81927654,0.82508558,1,0.35693343,0.297511096,0.38060845,0.36870534,0,0,0,0,0.43355006,0.43601046,0.40188898,0.35332537,0.46373435,0.48781936,0.46734647,0.47547073,0.45433586,0.45230624,0.46128504,0.46966351,0.48451384,0.48324079,0.48373824,0.48039116,0.480316595,0.47733815,0.47663395,0.46730837,0.47252736,0.45836131,0.47066461,0.45796594,0.38346279,0.48139457,0.47855796,0.55208989,0.54835092,0.47735223,0.46056047
Coffea,Rubiaceae_24,0.30761905,0.31926491,0.31244885,0.31989193,0.32434352,0.32506231,0.293590895,0.32565689,0.31476033,0.31621053,0.26861302,0.32391432,0.46392946,0.34557921,0.28674512,0.27348169,0.27420633,0.291032,0.28734334,0.36812994,0.34788581,0.35018039,0.35693343,1,0.67085781,0.81570081,0.71990155,0,0,0,0,0.30804139,0.30968167,0.28683143,0.25392467,0.32808576,0.34395787,0.33047302,0.33583351,0.32186285,0.32051683,0.32646561,0.33200309,0.34178588,0.34094885,0.34127596,0.33907412,0.33902505,0.33706393,0.33660002,0.33044785,0.33389286,0.34402721,0.35261282,0.34375079,0.29107148,0.36007482,0.35810446,0.35495844,0.35272346,0.35726644,0.34556417
Galium,Rubiaceae_25,0.26244307,0.27087267,0.26595036,0.27132389,0.2745196,0.27503435,0.25216379,0.27545987,0.26762321,0.26867086,0.233513699,0.27421208,0.38957713,0.289580697,0.24709698,0.23718444,0.2377293,0.25027377,0.24754108,0.30524952,0.29119858,0.29280456,0.297511096,0.67085781,1,0.68090393,0.60384294,0,0,0,0,0.26275041,0.26394287,0.24716108,0.22233328,0.27719568,0.28844137,0.27889787,0.28270612,0.27274044,0.27177331,0.27603828,0.27998684,0.28691238,0.28632231,0.28655296,0.28499903,0.28496436,0.28357753,0.28324909,0.27887995,0.28132964,0.28849013,0.29450327,0.28829573,0.25030296,0.2996904,0.29832424,0.2961377,0.29458044,0.29774242,0.28957013
Luculia,Rubiaceae_26,0.32504437,0.33807491,0.33044164,0.33877808,0.34377493,0.34458253,0.30942228,0.34525074,0.33302811,0.33465196,0.2818047,0.3432928,0.49324726,0.36772524,0.30182785,0.28716809,0.28796718,0.30658132,0.30249074,0.39336607,0.37033806,0.37293948,0.38060845,0.81570081,0.68090393,1,0.76573667,0,0,0,0,0.32551595,0.32734816,0.30192349,0.26568152,0.347981899,0.36588999,0.35066867,0.35671034,0.340989395,0.33947903,0.34615984,0.35239194,0.36343317,0.362486899,0.36285666,0.36036857,0.36031314,0.35809881,0.35757523,0.35064033,0.354521697,0.36596845,0.37569962,0.36565566,0.30662513,0.38418248,0.38194028,0.37836361,0.37582522,0.38098713,0.36770821
Nerium,Apocynaceae_27,0.31632317,0.328650595,0.32143242,0.32931506,0.33403472,0.33479715,0.30150904,0.33542791,0.32387925,0.32541491,0.275225997,0.3335795,0.47852871,0.35660254,0.29429356,0.28033962,0.28110111,0.29881089,0.29492373,0.38066494,0.35905916,0.36150401,0.36870534,0.71990155,0.60384294,0.76573667,1,0,0,0,0,0.31676976,0.31850457,0.29438448,0.25982625,0.33800529,0.35487637,0.34053966,0.34623451,0.33140419,0.32997736,0.33628596,0.34216458,0.35256476,0.35167417,0.35202219,0.34967999,0.34962779,0.34754247,0.34704929,0.34051293,0.34417215,0.35495018,0.36409689,0.35465593,0.29885251,0.37205833,0.36995503,0.36659832,0.36421485,0.36906069,0.35658652
Cryptocarya,Lauraceae_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.60461341,0.10918276,0.11577066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurus,Lauraceae_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60461341,1,0.10833375,0.11481656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
