,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Luculia,Rubiaceae_26,542,1125,667,512,1151,627,872,479,426,458,585,485,779,933,435,0,848,676,856,1143,1131,776,846,407,739,0,514,575,658,864,1021,718,798,995,844,667,626,394,623,684,958,615,644,554,556,573,671,581,828,580,647,581,883,883,964,952,503,884,731,1088,1193,1046
Nerium,Apocynaceae_27,701,1213,798,648,1198,751,905,606,538,571,975,600,961,933,523,32,888,970,804,1144,1139,1009,884,618,803,514,0,736,800,1089,1354,884,895,948,989,796,831,414,689,737,925,766,791,706,722,782,819,719,850,733,791,723,1037,1125,901,881,551,872,809,1129,1118,994
Cryptocarya,Lauraceae_28,694,1181,573,624,1145,570,1227,611,536,577,862,601,734,880,900,448,959,904,697,1094,1167,795,635,915,1261,575,736,0,333,713,883,680,747,866,1242,630,646,225,513,560,1157,530,622,505,493,600,615,524,982,522,603,540,1027,1083,965,1092,735,940,579,1174,998,1017
Laurus,Lauraceae_29,767,1293,650,697,1274,636,1354,683,606,645,966,671,813,951,1019,493,1077,987,721,1196,1275,850,698,1051,1331,658,800,333,0,797,960,760,828,975,1371,696,706,289,578,633,1272,613,708,600,573,672,701,603,1098,603,689,610,1124,1178,1052,1202,776,1054,636,1282,1110,1123
Annona,Annonaceae_30,615,1728,728,572,1687,686,1469,489,507,485,756,498,1108,1332,1008,576,1257,761,654,1517,1629,978,878,1342,1257,864,1089,713,797,0,778,841,891,1064,1494,695,825,393,579,578,1507,710,808,650,676,765,786,669,1306,665,762,660,1432,1475,1482,1419,1020,1520,613,1613,1480,1554
Cananga,Annonaceae_31,930,2034,1024,881,2034,980,1848,844,765,815,1240,844,1391,1444,1090,548,1446,1091,898,1884,2040,1403,1166,1498,1514,1021,1354,883,960,778,0,989,1049,1214,1660,914,1175,491,789,832,1817,861,1015,795,786,1133,910,806,1643,815,893,813,1592,1877,1746,1723,1206,1717,938,2016,1595,1887
Malesherbia,Passifloraceae_32,712,843,781,648,856,744,628,541,536,534,743,537,889,622,443,37,671,786,613,748,818,821,707,770,902,718,884,680,760,841,989,0,337,427,574,583,579,336,497,522,689,541,581,495,469,459,581,481,553,508,566,520,815,793,650,737,433,631,579,824,781,729
Paropsia,Passifloraceae_33,710,912,773,648,919,736,687,538,544,517,754,537,889,700,424,30,684,767,606,797,882,827,713,799,974,798,895,747,828,891,1049,337,0,286,508,563,581,326,475,493,717,542,565,489,480,459,575,493,545,502,560,521,830,808,700,788,493,685,592,888,828,779
Passiflora,Passifloraceae_34,741,1340,804,690,1344,769,1146,566,571,548,778,560,987,1078,654,275,930,827,768,1172,1302,895,866,1038,1222,995,948,866,975,1064,1214,427,286,0,791,618,650,367,522,549,1151,589,638,549,521,510,648,553,889,548,666,581,1119,954,1140,1251,708,1104,598,1278,1245,1234
Turnera,Passifloraceae_35,857,1702,926,804,1708,900,1471,670,674,637,886,663,1010,1297,1269,871,1600,885,693,1603,1692,974,857,1634,1279,844,989,1242,1371,1494,1660,574,508,791,0,753,778,438,648,668,1490,717,774,669,640,637,775,679,1337,682,749,702,1665,1465,1484,1609,1186,1448,706,1622,1576,1521
Aporusa,Phyllanthaceae_36,577,689,697,531,688,665,494,554,492,552,666,564,830,571,498,31,737,726,663,673,750,752,712,821,846,667,796,630,696,695,914,583,563,618,753,0,282,266,420,468,466,521,501,463,444,481,485,475,480,485,497,497,739,724,519,670,450,503,584,706,717,635
Bischofia,Phyllanthaceae_37,645,913,722,588,875,671,758,483,511,488,932,499,835,582,397,29,634,780,553,757,827,819,673,682,804,626,831,646,706,825,1175,579,581,650,778,282,0,221,321,354,547,486,548,418,394,505,500,432,586,440,498,443,694,805,687,722,429,674,531,816,639,711
Croizatia,Phyllanthaceae_38,267,407,415,253,408,387,294,246,255,254,327,251,455,211,163,27,394,309,259,345,378,379,375,429,363,394,414,225,289,393,491,336,326,367,438,266,221,0,177,181,226,303,287,273,242,265,288,273,282,277,284,292,403,396,360,453,203,266,274,378,369,383
Heywoodia,Phyllanthaceae_39,433,582,606,421,587,570,385,443,387,448,543,449,708,460,478,28,740,617,575,590,645,649,626,711,709,623,689,513,578,579,789,497,475,522,648,420,321,177,0,313,327,445,413,388,374,398,403,408,421,402,431,431,649,626,478,541,450,388,503,628,626,565
Lachnostylis,Phyllanthaceae_40,456,606,629,441,608,587,401,475,420,495,556,489,762,493,505,27,758,652,591,610,669,675,652,747,718,684,737,560,633,578,832,522,493,549,668,468,354,181,313,0,370,474,442,423,397,431,430,437,452,436,457,466,697,682,527,583,486,418,540,654,660,603
Phyllanthus,Phyllanthaceae_41,711,1698,789,657,1632,750,1639,533,557,539,910,535,974,1283,1022,656,1267,850,837,1518,1658,927,838,1271,1434,958,925,1157,1272,1507,1817,689,717,1151,1490,466,547,226,327,370,0,543,641,486,473,571,599,504,1201,502,589,540,1274,1275,1528,1715,937,1440,657,1593,1443,1612
Abatia,Salicaceae_42,593,732,738,552,732,695,508,509,529,504,664,517,780,533,407,33,649,655,594,633,697,693,666,787,765,615,766,530,613,710,861,541,542,589,717,521,486,303,445,474,543,0,350,164,165,184,334,193,204,112,230,284,692,684,526,644,407,530,542,657,677,635
Casearia,Salicaceae_43,664,798,740,626,795,699,627,508,527,518,746,509,843,587,398,30,627,706,566,684,752,752,650,720,852,644,791,622,708,808,1015,581,565,638,774,501,548,287,413,442,641,350,0,288,283,303,181,293,369,315,358,331,718,749,617,718,424,635,539,752,683,673
Dovyalis,Salicaceae_44,561,674,698,515,667,658,486,479,490,462,650,484,717,490,396,34,625,644,579,573,642,640,621,724,735,554,706,505,600,650,795,495,489,549,669,463,418,273,388,423,486,164,288,0,80,122,267,121,150,122,162,231,638,623,481,576,370,469,495,616,612,571
Flacourtia,Salicaceae_45,530,656,659,485,653,623,462,453,460,441,620,453,699,503,390,32,602,603,544,568,640,641,601,706,696,556,722,493,573,676,786,469,480,521,640,444,394,242,374,397,473,165,283,80,0,124,264,130,153,116,161,229,632,626,472,577,385,471,482,611,611,555
Idesia,Salicaceae_46,577,852,719,545,805,671,675,583,558,582,881,586,814,537,425,33,666,770,615,705,772,754,690,742,767,573,782,600,672,765,1133,459,459,510,637,481,505,265,398,431,571,184,303,122,124,0,252,96,112,145,120,223,674,787,607,715,460,621,598,770,649,740
Lunania,Salicaceae_47,656,775,717,589,784,680,573,484,488,474,697,486,822,595,389,31,643,724,579,657,746,743,626,750,860,671,819,615,701,786,910,581,575,648,775,485,500,288,403,430,599,334,181,267,264,252,0,267,323,295,339,310,743,739,597,715,396,579,523,747,704,664
Poliothyrsis,Salicaceae_48,557,692,703,514,688,662,481,467,479,468,645,472,733,513,406,32,647,656,598,589,647,643,630,740,731,581,719,524,603,669,806,481,493,553,679,475,432,273,408,437,504,193,293,121,130,96,267,0,118,157,143,236,658,648,503,586,385,489,517,645,631,578
Populus,Salicaceae_49,679,1628,773,640,1583,726,1531,538,571,537,996,539,910,1128,989,646,1251,822,846,1376,1511,822,792,1232,1322,828,850,982,1098,1306,1643,553,545,889,1337,480,586,282,421,452,1201,204,369,150,153,112,323,118,0,164,114,260,1174,1176,1333,1522,871,1282,637,1439,1292,1426
