,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Alnus,Betulaceae_20,0.62929023,0.15038825,0.66334535,0.63009923,0.15169127,0.66101407,0.21421608,0.67977266,0.69751206,0.68335096,0.56861252,0.68069296,0.47095505,0.35833089,0.69407323,0.82598875,0.63893162,0.50465911,0.62303953,0,0.09219858,0.37536446,0.50430598,0.4786411,0.39616519,0.55335736,0.4166562,0.42040851,0.38568178,0.42633835,0.30284663,0.62722818,0.62081106,0.44038364,0.53079848,0.68443804,0.50543869,0.80406552,0.75117749,0.75185988,0.20898686,0.69520301,0.61119586,0.69628029,0.70507771,0.55907342,0.63769651,0.69441973,0.26974571,0.69489299,0.63013815,0.69761431,0.37347084,0.28008351,0.22885342,0.30199491,0.62073072,0.23798646,0.59929108,0.1273496,0.23967011,0.16320288
Quercus,Fagaceae_21,0.62285542,0.12815117,0.65748998,0.62294163,0.11765973,0.65516201,0.20881103,0.67323191,0.69069017,0.67573959,0.55938763,0.674546,0.44806088,0.334981299,0.69241682,0.82533995,0.63370806,0.49079728,0.61585418,0.09219858,0,0.34030197,0.48643419,0.49089916,0.42130922,0.57207188,0.43510687,0.405633197,0.36828754,0.40446052,0.27343851,0.617663499,0.614788,0.43004602,0.52012903,0.67941987,0.49593461,0.80080898,0.74812839,0.7495799,0.20256102,0.68968483,0.60585605,0.68890325,0.70039128,0.54933574,0.63064461,0.68738424,0.25331673,0.68789864,0.62505912,0.69104535,0.34489577,0.24889328,0.20620108,0.29505232,0.61991555,0.21400694,0.63199635,0.10202679,0.26711845,0.13599279
Chrysolepis,Fagaceae_22,0.440302298,0.38966626,0.49053608,0.44170845,0.39548437,0.4875246,0.44928939,0.51378478,0.53727555,0.51567259,0.34432885,0.51888529,0.27565597,0.59247193,0.78756743,0.95177691,0.75398943,0.24103573,0.65058299,0.37536446,0.34030197,0,0.41308805,0.62960004,0.51738778,0.65641051,0.26241826,0.367483296,0.33256189,0.448589999,0.29737996,0.42737324,0.47529195,0.46831699,0.57500385,0.51995678,0.25015865,0.69461803,0.61659121,0.62026932,0.41155479,0.53382456,0.40787632,0.5395396,0.54885258,0.32881141,0.45250333,0.53459878,0.43355773,0.53709462,0.43601654,0.53999492,0.45905068,0.2487307,0.47068291,0.5035994,0.74496979,0.49542962,0.50315716,0.37160226,0.53295093,0.40262952
Fagus,Fagaceae_23,0.45546255,0.51850726,0.35562961,0.45785372,0.52440551,0.35165358,0.58210596,0.38369876,0.40964717,0.38147854,0.51908542,0.38720699,0.355367698,0.61133778,0.74617401,0.94221274,0.67574182,0.5130492,0.39726428,0.50430598,0.48643419,0.41308805,0,0.527914197,0.49122712,0.5710809,0.51115707,0.60977983,0.57449726,0.66391481,0.52315642,0.49889838,0.49631974,0.47045573,0.59953664,0.39128364,0.49591314,0.61746725,0.518815496,0.52492855,0.53165481,0.40985167,0.42544235,0.41360425,0.42909264,0.44087815,0.46974022,0.409873799,0.56172725,0.41217074,0.39175411,0.415985395,0.53095896,0.50433351,0.60287976,0.51664855,0.71014746,0.61391098,0.37958247,0.50739555,0.51464027,0.52020335
Coffea,Rubiaceae_24,0.67633096,0.5115692,0.62033297,0.673391895,0.51165624,0.61700043,0.58712821,0.64133366,0.66090898,0.64094247,0.70879459,0.64418833,0.53010263,0.53980376,0.59426389,0.76175842,0.46189799,0.64206491,0.64583096,0.4786411,0.49089916,0.62960004,0.527914197,0,0.54495662,0.594611896,0.52301675,0.60522863,0.56546434,0.61434913,0.50654066,0.643083299,0.63791114,0.593442295,0.46534418,0.57535312,0.6852192,0.75617344,0.67806932,0.68199805,0.54798133,0.59098562,0.65071906,0.59142505,0.60546597,0.65821772,0.62276162,0.58873897,0.58285489,0.58949076,0.56642712,0.59356554,0.33705866,0.48366167,0.59123472,0.52940901,0.61294132,0.53243159,0.57870588,0.49876118,0.39508387,0.51094055
Galium,Rubiaceae_25,0.56329729,0.42643339,0.64530198,0.55639832,0.4278929,0.644559699,0.42689278,0.62697003,0.64207447,0.619864196,0.64233908,0.63014954,0.443868196,0.46725992,0.73529257,0.89358771,0.73538709,0.44799035,0.51385715,0.39616519,0.42130922,0.51738778,0.49122712,0.54495662,0,0.47845694,0.44542245,0.4342465,0.41108005,0.56012717,0.46610818,0.52153945,0.53340256,0.40178238,0.56076389,0.60710548,0.62045643,0.76279476,0.69771498,0.70006983,0.41627543,0.62358867,0.57177007,0.623867595,0.63746888,0.68170767,0.55581838,0.62525317,0.5120817,0.62659107,0.53603107,0.62494914,0.441273699,0.48241695,0.50510419,0.40950518,0.77056939,0.50884103,0.56873241,0.42320419,0.30651953,0.42248541
Luculia,Rubiaceae_26,0.71230242,0.59311065,0.76458246,0.70788076,0.58637164,0.76225578,0.6607562,0.79042668,0.80799856,0.79220779,0.78162366,0.78889222,0.55577923,0.59916256,0.86731968,1,0.70860807,0.67731715,0.61785189,0.55335736,0.57207188,0.65641051,0.5710809,0.594611896,0.47845694,0,0.54175725,0.72911369,0.69368061,0.71938848,0.64343533,0.67952486,0.63354471,0.56799123,0.74015587,0.73280757,0.716712098,0.77861564,0.69579059,0.70160147,0.62805325,0.74229479,0.68421053,0.74229354,0.75918316,0.78273841,0.65702506,0.74109294,0.71725407,0.74065613,0.62942535,0.74567463,0.63483821,0.66092582,0.58170666,0.62033301,0.83856265,0.58182315,0.682419996,0.58469536,0.48839226,0.59390264
Nerium,Apocynaceae_27,0.5485242,0.44290774,0.59731227,0.54320403,0.44851585,0.59466148,0.51519238,0.62082156,0.63524203,0.61797422,0.49845041,0.62463964,0.29139385,0.55599509,0.79243254,0.95159223,0.75434959,0.28147136,0.62033767,0.4166562,0.43510687,0.26241826,0.51115707,0.52301675,0.44542245,0.54175725,0,0.45325808,0.42037018,0.445849396,0.35386355,0.45917477,0.50657102,0.49037773,0.59560684,0.55269539,0.41811407,0.71894361,0.64615193,0.65089978,0.51541479,0.56412014,0.51304296,0.56861891,0.55450508,0.48844941,0.48402765,0.56460254,0.54227618,0.56673102,0.46418069,0.56878505,0.41513508,0.31704273,0.5225434,0.58113547,0.80352477,0.54112719,0.55548614,0.43224505,0.45511482,0.45823199
Cryptocarya,Lauraceae_28,0.55382496,0.40876994,0.64186931,0.54916557,0.41701263,0.64156488,0.40686977,0.62485037,0.64147438,0.61555115,0.50834729,0.62873893,0.46815202,0.54498631,0.72233141,0.844451,0.74137121,0.36677247,0.68483652,0.42040851,0.405633197,0.367483296,0.60977983,0.60522863,0.4342465,0.72911369,0.45325808,0,0.09161805,0.37545788,0.27065806,0.5376479,0.54769395,0.52743085,0.52982113,0.62817759,0.48276054,0.79387536,0.72380498,0.72790212,0.36421801,0.644354695,0.56452362,0.64249478,0.65873818,0.55466327,0.56807512,0.64521884,0.47092491,0.64611451,0.55142584,0.64380452,0.43152377,0.3195741,0.49010009,0.47961047,0.67617558,0.49301025,0.64631658,0.40364267,0.47866796,0.40408127
Laurus,Lauraceae_29,0.51302903,0.37470105,0.60334399,0.50974566,0.38050151,0.60146169,0.36970872,0.58329874,0.60084258,0.58134297,0.47187089,0.58604734,0.43274823,0.52349577,0.67641784,0.84693648,0.70169509,0.32838832,0.68048831,0.38568178,0.36828754,0.33256189,0.57449726,0.56546434,0.41108005,0.69368061,0.42037018,0.09161805,0,0.33125571,0.23129112,0.49964522,0.50972214,0.48591763,0.48520228,0.58820056,0.44429759,0.75020708,0.68088374,0.68699043,0.32252406,0.60564208,0.52632789,0.60217661,0.61973406,0.51677742,0.52728344,0.60407826,0.43282558,0.60591249,0.51188084,0.60335956,0.38840769,0.27441579,0.46442808,0.44528882,0.68812722,0.45711501,0.61084241,0.36796293,0.44157621,0.36716313
