,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Alnus,Betulaceae_20,0.21438799,0.19893647,0.20784011,0.19813646,0.192545695,0.19165733,0.23462792,0.19092543,0.20477747,0.20287885,0.27589941,0.19307803,0.21468112,0.15426418,0.23163011,0.2536693,0.25241014,0.22493636,0.23068403,0,0.08288598,0.08043162,0.07339143,0.22366135,0.29657747,0.20095281,0.21200547,0.21930362,0.22081431,0.29036318,0.27939396,0.21380722,0.21156666,0.24508733,0.30396056,0.18796319,0.16963556,0.18509412,0.17880038,0.1956421,0.19734227,0.18993422,0.18327695,0.17204304,0.17297901,0.17261269,0.175092099,0.17514773,0.17738399,0.17791681,0.18512415,0.18105556,0.1799894,0.17076698,0.18029398,0.24889981,0.16310876,0.16509992,0.14169687,0.14402296,0.16595345,0.17830477
Quercus,Fagaceae_21,0.23498601,0.21953449,0.22843813,0.21873448,0.21314372,0.21225535,0.25522594,0.21152345,0.22537549,0.22347687,0.29649743,0.21367605,0.23527914,0.1748622,0.25222813,0.27426732,0.27300816,0.24553438,0.25128205,0.08288598,0,0.01077927,0.06300091,0.24425937,0.31717549,0.22155083,0.23260349,0.23990164,0.24141233,0.310961197,0.29999198,0.23440524,0.23216468,0.26568535,0.32455858,0.20856121,0.19023358,0.20569214,0.199398399,0.21624012,0.21794029,0.21053224,0.20387497,0.19264106,0.19357703,0.19321071,0.19569012,0.19574575,0.19798201,0.19851483,0.20572217,0.20165358,0.20058742,0.191365,0.200892,0.26949783,0.18370678,0.18569794,0.16229489,0.16462098,0.18655147,0.19890279
Chrysolepis,Fagaceae_22,0.23253165,0.21708013,0.22598377,0.21628012,0.21068936,0.20980099,0.25277158,0.20906909,0.22292113,0.22102251,0.29404307,0.211221696,0.23282479,0.17240784,0.24977377,0.27181297,0.2705538,0.24308002,0.24882769,0.08043162,0.01077927,0,0.06054655,0.24180501,0.31472113,0.21909647,0.23014914,0.23744728,0.23895797,0.30850684,0.29753762,0.23195088,0.22971032,0.26323099,0.32210422,0.20610685,0.18777922,0.20323778,0.19694404,0.21378576,0.21548594,0.20807788,0.20142061,0.1901867,0.19112267,0.19075635,0.19323576,0.19329139,0.19552766,0.19606047,0.20326781,0.19919922,0.19813307,0.18891065,0.19843764,0.26704347,0.18125242,0.18324358,0.15984053,0.16216663,0.18409711,0.19644843
Fagus,Fagaceae_23,0.22549146,0.21003993,0.21894357,0.20923993,0.20364916,0.20276079,0.24573139,0.2020289,0.21588094,0.21398232,0.28700288,0.2041815,0.22578459,0.16536765,0.24273358,0.26477277,0.26351361,0.23603983,0.24178749,0.07339143,0.06300091,0.06054655,0,0.23476482,0.30768094,0.21205628,0.22310894,0.23040708,0.23191778,0.30146665,0.29049743,0.22491069,0.22267013,0.2561908,0.31506403,0.19906666,0.18073903,0.19619759,0.18990385,0.20674557,0.20844574,0.20103769,0.19438042,0.18314651,0.18408248,0.18371616,0.18619557,0.186251197,0.18848746,0.18902028,0.19622762,0.19215903,0.19109287,0.18187045,0.19139745,0.26000327,0.17421223,0.17620338,0.15280034,0.15512643,0.17705692,0.18940824
Coffea,Rubiaceae_24,0.29328927,0.27783775,0.28674139,0.27703774,0.27144698,0.27055861,0.3135292,0.26982671,0.28367875,0.28178013,0.35480069,0.27197932,0.20480679,0.24675944,0.32412536,0.34616456,0.344905395,0.31743161,0.32317928,0.22366135,0.24425937,0.24180501,0.23476482,0,0.15270496,0.06788175,0.10626271,0.25636847,0.25787917,0.32742804,0.31645882,0.2927085,0.29046794,0.32398861,0.38286184,0.26686447,0.24853684,0.263995398,0.25770166,0.27454338,0.27624355,0.2688355,0.26217823,0.25094432,0.25188029,0.25151397,0.25399338,0.25404901,0.25628527,0.25681809,0.26402543,0.25995684,0.24846049,0.23923807,0.24876506,0.31737089,0.23157984,0.233570998,0.23679606,0.23912216,0.23442453,0.24677585
Galium,Rubiaceae_25,0.36620539,0.35075387,0.35965751,0.34995387,0.3443631,0.34347473,0.38644533,0.34274284,0.35659487,0.35469625,0.42771682,0.34489544,0.27772292,0.31967556,0.39704149,0.41908068,0.41782152,0.39034774,0.3960954,0.29657747,0.31717549,0.31472113,0.30768094,0.15270496,0,0.14079787,0.17917884,0.329284599,0.33079529,0.40034416,0.38937494,0.36562463,0.36338406,0.39690474,0.45577797,0.339780597,0.32145296,0.33691152,0.33061779,0.34745951,0.34915968,0.34175163,0.33509436,0.32386045,0.32479642,0.324430095,0.32690951,0.32696514,0.329201399,0.32973421,0.33694156,0.33287297,0.32137661,0.31215419,0.32168119,0.39028701,0.30449596,0.30648712,0.30971219,0.31203828,0.30734065,0.31969198
Luculia,Rubiaceae_26,0.27058073,0.25512921,0.26403285,0.25432921,0.24873844,0.24785007,0.29082067,0.24711818,0.26097021,0.25907159,0.33209216,0.24927078,0.18209826,0.2240509,0.30141683,0.32345602,0.32219686,0.29472308,0.30047074,0.20095281,0.22155083,0.21909647,0.21205628,0.06788175,0.14079787,0,0.08355418,0.23365994,0.23517063,0.3047195,0.29375028,0.26999997,0.2677594,0.30128008,0.36015331,0.24415594,0.22582831,0.24128686,0.23499313,0.25183485,0.25353502,0.24612697,0.239469696,0.22823579,0.22917176,0.22880544,0.23128485,0.23134048,0.23357674,0.23410955,0.241316897,0.23724831,0.22575195,0.21652953,0.22605653,0.29466235,0.2088713,0.21086246,0.21408753,0.21641362,0.21171599,0.22406732
Nerium,Apocynaceae_27,0.28163339,0.26618187,0.27508551,0.26538187,0.2597911,0.25890273,0.30187333,0.25817084,0.27202288,0.27012426,0.34314482,0.26032344,0.19315092,0.23510356,0.31246949,0.33450868,0.33324952,0.30577574,0.31152341,0.21200547,0.23260349,0.23014914,0.22310894,0.10626271,0.17917884,0.08355418,0,0.2447126,0.24622329,0.31577216,0.30480294,0.28105263,0.27881207,0.31233274,0.37120597,0.2552086,0.23688097,0.25233953,0.24604579,0.26288751,0.26458768,0.25717963,0.25052236,0.23928845,0.24022442,0.239858097,0.24233751,0.24239314,0.2446294,0.24516222,0.25236956,0.24830097,0.23680461,0.22758219,0.23710919,0.30571501,0.21992397,0.22191513,0.22514019,0.22746628,0.22276866,0.23511998
Cryptocarya,Lauraceae_28,0.28893154,0.27348002,0.28238366,0.27268001,0.26708925,0.26620088,0.30917147,0.26546898,0.27932102,0.277422398,0.35044296,0.26762158,0.24738825,0.24240171,0.31976763,0.34180683,0.34054766,0.31307388,0.31882155,0.21930362,0.23990164,0.23744728,0.23040708,0.25636847,0.329284599,0.23365994,0.2447126,0,0.04871775,0.171717799,0.16074858,0.28835077,0.28611021,0.31963088,0.37850411,0.26250674,0.24417911,0.25963767,0.25334393,0.27018565,0.27188582,0.26447777,0.2578205,0.24658659,0.24752256,0.24715624,0.24963565,0.24969128,0.25192754,0.25246036,0.2596677,0.25559911,0.24410276,0.23488033,0.24440733,0.31301316,0.22722211,0.22921327,0.23243833,0.23476442,0.230066798,0.24241812
Laurus,Lauraceae_29,0.29044223,0.27499071,0.28389435,0.2741907,0.26859994,0.26771157,0.31068216,0.26697967,0.28083171,0.27893309,0.35195365,0.26913228,0.24889894,0.243912396,0.32127832,0.34331752,0.34205836,0.31458458,0.32033224,0.22081431,0.24141233,0.23895797,0.23191778,0.25787917,0.33079529,0.23517063,0.24622329,0.04871775,0,0.17322849,0.16225927,0.28986146,0.287620899,0.32114157,0.3800148,0.26401743,0.2456898,0.26114836,0.25485462,0.27169634,0.27339652,0.26598846,0.25933119,0.24809728,0.24903325,0.24866693,0.25114634,0.25120197,0.25343824,0.25397105,0.26117839,0.2571098,0.24561345,0.23639103,0.24591802,0.31452385,0.2287328,0.23072396,0.23394902,0.23627512,0.23157749,0.24392881
