,,Celastrus,Brexia,Denhamia,Elaeodendron,Euonymus,Maytenus,Parnassia,Paxistima,Plagiopteron,Siphonodon,Stackhousia,Tripterygium,Arbutus,Albizia,Cicer,Glycine,Lotus,Medicago,Pisum,Alnus,Quercus,Chrysolepis,Fagus,Coffea,Galium,Luculia,Nerium,Cryptocarya,Laurus,Annona,Cananga,Malesherbia,Paropsia,Passiflora,Turnera,Aporusa,Bischofia,Croizatia,Heywoodia,Lachnostylis,Phyllanthus,Abatia,Casearia,Dovyalis,Flacourtia,Idesia,Lunania,Poliothyrsis,Populus,Prockia,Salix,Scyphostegia,Gossypium,Sterculia,Terminalia,Clidemia,Eucalyptus,Myrtus,Prunus,Spiraea,Schinus,Cupaniopsis
,,Celastraceae_1,Celastraceae_2,Celastraceae_3,Celastraceae_4,Celastraceae_5,Celastraceae_6,Celastraceae_7,Celastraceae_8,Celastraceae_9,Celastraceae_10,Celastraceae_11,Celastraceae_12,Ericaceae_13,Fabaceae_14,Fabaceae_15,Fabaceae_16,Fabaceae_17,Fabaceae_18,Fabaceae_19,Betulaceae_20,Fagaceae_21,Fagaceae_22,Fagaceae_23,Rubiaceae_24,Rubiaceae_25,Rubiaceae_26,Apocynaceae_27,Lauraceae_28,Lauraceae_29,Annonaceae_30,Annonaceae_31,Passifloraceae_32,Passifloraceae_33,Passifloraceae_34,Passifloraceae_35,Phyllanthaceae_36,Phyllanthaceae_37,Phyllanthaceae_38,Phyllanthaceae_39,Phyllanthaceae_40,Phyllanthaceae_41,Salicaceae_42,Salicaceae_43,Salicaceae_44,Salicaceae_45,Salicaceae_46,Salicaceae_47,Salicaceae_48,Salicaceae_49,Salicaceae_50,Salicaceae_51,Salicaceae_52,Malvaceae_53,Malvaceae_54,Combretaceae_55,Melastomataceae_56,Myrtaceae_57,Myrtaceae_58,Rosaceae_59,Rosaceae_60,Anacardiaceae_61,Sapindaceae_62
Alnus,Betulaceae_20,0.06645299,0.07814919,0.08239917,0.06264775,0.07478681,0.07614096,0.08181863,0.06859117,0.06731898,0.07146402,0.08456014,0.06792266,0.07561243,0.06972789,0.11835188,0.12287863,0.13423507,0.064128096,0.0897305,0,0.03904758,0.03240165,0.03706741,0.10983489,0.10309214,0.09687262,0.07584698,0.07377934,0.07581616,0.10000659,0.10149768,0.07813643,0.08186113,0.08129292,0.12613109,0.08289198,0.06084231,0.06952842,0.09141618,0.09461765,0.07523045,0.08082227,0.06937823,0.07401188,0.07541158,0.06330819,0.07135875,0.07550314,0.07350035,0.07634077,0.06970795,0.07767869,0.07876481,0.0695089,0.07248939,0.09153685,0.09646367,0.06918824,0.06792305,0.06082451,0.07586628,0.07262596
Quercus,Fagaceae_21,0.07447371,0.08628139,0.09111695,0.07045696,0.08379188,0.08589377,0.08849864,0.07536585,0.07354456,0.07574458,0.08892051,0.07491417,0.08509728,0.07878752,0.12828947,0.13436029,0.14237805,0.07027324,0.09819356,0.03904758,0,0.00525394,0.03248279,0.11242213,0.09976016,0.09926277,0.07749881,0.077857095,0.07984719,0.10536188,0.10769718,0.08424305,0.08979841,0.08945994,0.131683399,0.09147457,0.06592793,0.07549431,0.09924604,0.10322481,0.08201425,0.08807177,0.07581409,0.081668998,0.08412198,0.06859783,0.080060098,0.08184693,0.07993863,0.08387097,0.07656465,0.08495982,0.08709194,0.07695558,0.0803607,0.09846357,0.10826931,0.07774894,0.06920815,0.07115573,0.08220961,0.07841341
Chrysolepis,Fagaceae_22,0.07319382,0.06955946,0.09038331,0.06959281,0.06683993,0.08439201,0.064643898,0.07392619,0.07237344,0.0757961,0.08837537,0.07460317,0.07924328,0.06833736,0.10284227,0.03295572,0.13011748,0.06839604,0.09226689,0.03240165,0.00525394,0,0.03203081,0.10044515,0.08584079,0.10034915,0.07275743,0.06391189,0.0641461,0.08321988,0.09238164,0.08349436,0.08831696,0.08034111,0.10536564,0.09054786,0.06481994,0.07333591,0.09741819,0.10188679,0.06643256,0.08627988,0.07475892,0.0810024,0.08283794,0.06647858,0.07928716,0.08063707,0.06271458,0.08320764,0.07571175,0.083712696,0.07323779,0.06457231,0.05943732,0.07857803,0.09991189,0.0608442,0.06676916,0.05879292,0.06886477,0.06212957
Fagus,Fagaceae_23,0.07363681,0.07849006,0.08722041,0.07105231,0.07681997,0.08104766,0.07727405,0.07167644,0.06869751,0.07114719,0.08738098,0.07039537,0.08614165,0.07589591,0.09715897,0.02868852,0.1277156,0.07829141,0.08869719,0.03706741,0.03248279,0.03203081,0,0.09696577,0.09775012,0.10480674,0.08960065,0.07691376,0.07689765,0.113173498,0.10561594,0.08854101,0.08873678,0.08630656,0.10788016,0.0849642,0.07530491,0.07221259,0.09361448,0.09825196,0.07545471,0.08216136,0.07468689,0.07753777,0.07706116,0.07608336,0.07770606,0.07811531,0.07748753,0.07928421,0.071777399,0.08013502,0.07971888,0.076832897,0.07601215,0.08406665,0.09334549,0.07466302,0.06091867,0.06807396,0.07469431,0.07572816
Coffea,Rubiaceae_24,0.09540357,0.114078595,0.11309694,0.09057914,0.11474911,0.10759132,0.1125158,0.09425785,0.08752266,0.08996432,0.10688463,0.09326668,0.09005225,0.11333582,0.15287916,0.15995289,0.16290832,0.10206437,0.11424904,0.10983489,0.11242213,0.10044515,0.09696577,0,0.07680205,0.05083687,0.06100691,0.10122801,0.10507898,0.14376004,0.12382212,0.11047346,0.11294883,0.11317052,0.15362918,0.11132203,0.09712333,0.1023622,0.12517606,0.13223579,0.10837312,0.11079825,0.10451444,0.10308985,0.10385407,0.10381978,0.10576787,0.10451977,0.11460465,0.10469723,0.09418709,0.10651647,0.10682448,0.10751727,0.11577028,0.12067607,0.13004246,0.10371385,0.10250627,0.106787398,0.10929469,0.10686905
Galium,Rubiaceae_25,0.1056701,0.10192092,0.10887656,0.099288297,0.10105013,0.10589868,0.10601958,0.11079235,0.10281852,0.10765906,0.11370444,0.10990072,0.082137298,0.09754131,0.14720381,0.14004283,0.16471334,0.09461282,0.12386484,0.10309214,0.09976016,0.08584079,0.09775012,0.07680205,0,0.07148385,0.06716855,0.10313241,0.10303453,0.11786217,0.11325554,0.09877354,0.10748179,0.09829472,0.12944034,0.11127187,0.09344491,0.08181204,0.12000677,0.1222752,0.09897163,0.10528489,0.09959088,0.10191348,0.10002874,0.10488172,0.10047903,0.10142917,0.10534704,0.10248922,0.09232165,0.1062474,0.09901223,0.09707539,0.09656553,0.10267566,0.13515949,0.09825499,0.11704892,0.09952266,0.102536799,0.09710936
Luculia,Rubiaceae_26,0.10170764,0.10349586,0.14518938,0.0956473,0.10443698,0.13648237,0.09726715,0.120170597,0.11725846,0.1160669,0.12318383,0.121219695,0.08930414,0.10286659,0.15431004,0,0.14969109,0.10112191,0.12520111,0.09687262,0.09926277,0.10034915,0.10480674,0.05083687,0.07148385,0,0.05613805,0.09088035,0.09142698,0.12685362,0.11296747,0.12063172,0.12133191,0.11208742,0.14276049,0.13606691,0.10381426,0.11237878,0.12654885,0.13973442,0.099874895,0.131213996,0.109375,0.11999134,0.12737686,0.12129551,0.11039816,0.12454448,0.10907654,0.12427684,0.10070039,0.12646931,0.10415192,0.10219907,0.09352867,0.10418035,0.14173006,0.08780294,0.12023026,0.09824815,0.10097334,0.09784846
Nerium,Apocynaceae_27,0.08396215,0.08409012,0.10458716,0.07750269,0.08347269,0.09842726,0.07293094,0.08596964,0.08009528,0.08085528,0.100370599,0.08595989,0.07407122,0.08721256,0.11426699,0.03278689,0.15456919,0.0773895,0.10461939,0.07584698,0.07749881,0.07275743,0.08960065,0.06100691,0.06716855,0.05613805,0,0.06460674,0.06557915,0.09174389,0.09338575,0.09245895,0.09856828,0.086932599,0.110145895,0.09962453,0.07566928,0.08440367,0.10836741,0.11654016,0.07450665,0.09869862,0.08802582,0.09244468,0.09324551,0.08056872,0.08995058,0.09327971,0.07378472,0.095318595,0.08455371,0.09458399,0.08175654,0.07598271,0.07365925,0.0826144,0.11755921,0.07442178,0.09367763,0.07711222,0.08352634,0.07144397
Cryptocarya,Lauraceae_28,0.08523704,0.08009495,0.08441367,0.07671502,0.07828525,0.08393462,0.08728747,0.08882105,0.08223381,0.08278336,0.09196629,0.08829146,0.06852128,0.08235074,0.15397776,0.14531301,0.16221245,0.07876623,0.10551014,0.07377934,0.077857095,0.06391189,0.07691376,0.10122801,0.10313241,0.09088035,0.06460674,0,0.02201507,0.05793451,0.05881178,0.08078888,0.08927931,0.08480219,0.125581395,0.09182335,0.06484642,0.06117455,0.09966971,0.10939637,0.07939885,0.08131329,0.07653501,0.07775212,0.07910783,0.06943641,0.07801598,0.080739599,0.07832815,0.08063021,0.074242797,0.08305137,0.08346201,0.07434612,0.07639933,0.08945687,0.10905045,0.07602718,0.08079821,0.078654696,0.07795657,0.06981534
Laurus,Lauraceae_29,0.08549771,0.08249856,0.08551506,0.07790321,0.08165096,0.0835084,0.09021855,0.08859774,0.08264012,0.08366844,0.09476162,0.08772389,0.070438398,0.08367796,0.15000736,0.15329602,0.15805694,0.080211296,0.10413056,0.07581616,0.07984719,0.0641461,0.07689765,0.10507898,0.10303453,0.09142698,0.06557915,0.02201507,0,0.06018274,0.06031666,0.08241162,0.09025507,0.08736559,0.1263478,0.09075499,0.06538853,0.06406562,0.09665552,0.10672736,0.08173757,0.08370886,0.07912383,0.08190008,0.08143832,0.07095344,0.08036226,0.082365797,0.08135141,0.08265936,0.07700905,0.083378895,0.08470872,0.07573615,0.07843137,0.09175573,0.11351668,0.07920048,0.07991958,0.08074573,0.0806393,0.07232563
